none,None
bmc microbiol,3.287
brain,11.814
cell,36.216
cell mol life sci,7.014
cell mol neurobiol,3.811
elife,7.551
front cell neurosci,3.900
front immunol,4.716
front mol neurosci,2.275
j biol chem,4.106
j gerontol a biol sci med sci,4.711
j immunol,4.718
j neurosci,6.074
j virol,4.324
neurobiol dis,5.160
neuron,14.403
plos one,2.776
proc natl acad sci u s a,9.580
sci rep,4.011
eur j immunol,4.695
genome res,9.944
blood,16.562
neuropharmacology,4.367
glia,5.829
plos pathog,6.463
j cell biochem,3.448
acs nano,13.903
front microbiol,4.259
gut,17.943
cell rep,7.815
nature,43.070
immunity,21.522
bmc genomics,3.501
science,41.037
nat methods,28.467
j neuroinflammation,5.700
theranostics,8.063
j exp med,10.892
front physiol,3.201
nat immunol,23.530
nat commun,11.878
exp cell res,3.329
stem cell reports,5.499
stem cells,5.614
npj breast cancer,32.43
mol cell,14.548
life sci alliance,3.448
cancer res,8.378
genes dev,8.990
breast cancer res treat,2.00
nat cell biol,17.728
dev cell,9.190
genome biol,14.028
cell metab,22.415
bioinformatics,4.531
plos genet,5.224
genes (basel),3.600
oncogene,6.634
biomolecules,4.694
cancer cell,23.916
clin cancer res,8.911
cancer sci,4.751
cancer immunol immunother,4.900
int j mol sci,4.183
epigenetics,4.173
j radiat res,2.014
embo rep,8.383
j clin invest,12.282
embo mol med,5.35
nat biotechnol,15.85
cancers (basel),6.162
rev invest clin,12.282
data brief,0.97
hum mol genet,4.544
bmc bioinformatics,2.511
genome med,10.886
rna biol,5.477
breast cancer (dove med press),2.044
jama netw open,20.768
transl oncol,3.138
biochem j,4.331
jci insight,6.014
mol brain,4.051
dis model mech,4.028
nutr cancer,2.029
oncoimmunology,5.333
mol med,2.991
clin chem,6.891
rna,3.949
pharmaceuticals (basel),1.516
ther adv med oncol,3.252
endocr relat cancer,4.774
mol carcinog,3.411
nat genet,25.455
bmc cancer,2.933
int j oncol,3.571
exp biol med (maywood),3.005
redox biol,7.768
commun biol,0.12
cancer biol ther,2.879
npj genom med,4.422
cancer commun (lond),3.62
sci signal,6.481
endocrinology,3.800
nat struct mol biol,12.109
genetics,3.564
j cell biol,8.891
ann oncol,14.196
mol oncol,5.962
nucleic acids res,11.147
j clin oncol,28.245
cells,5.656
mol endocrinol,3.628
nutrients,4.171
front oncol,4.137
mol cancer res,4.484
biochim biophys acta gene regul mech,4.599
j cell mol med,4.658
bmc med genomics,2.568
j steroid biochem mol biol,3.785
br j radiol,1.939
virology,2.657
oncogenesis,5.995
thyroid,7.786
development,5.763
cancer genomics proteomics,3.147
peerj,2.353
mol reprod dev,2.124
j pathol,5.942
mol cancer ther,4.856
j nutr biochem,4.490
sci data,5.929
toxicol appl pharmacol,3.585
cell death differ,8.086
cancer prev res (phila),3.866
j mol med (berl),4.746
circ res,15.862
embo j,11.227
radiat res,2.779
int immunopharmacol,3.361
nat med,30.641
j pathol clin res,2.346
stem cells dev,3.147
proteomics clin appl,2.324
carcinogenesis,4.004
sci adv,12.804
oncol rep,3.041
cell chem biol,6.762
int j cancer,4.982
free radic biol med,5.657
nucl recept signal,3.00
cancer inform,1.210
cell oncol (dordr),5.020
angiogenesis,5.759
cancer immunol res,8.619
mod pathol,6.365
j cancer,3.182
am j pathol,3.762
analyst,4.019
j nutr,4.416
mol genet genomics,2.879
isrn cardiol,0.57
mol cell biol,3.735
j hematol oncol,8.731
j cell sci,4.517
faseb j,5.391
nutr res,2.627
cancer discov,26.370
neoplasia,3.837
front biosci,2.214
br j cancer,5.416
biol open,1.962
mol nutr food res,4.653
j mammary gland biol neoplasia,2.758
j natl cancer inst,10.211
apl bioeng,None
physiol genomics,2.581
toxicology,3.547
front genet,3.517
front cell dev biol,5.18
genes chromosomes cancer,2.940
cell biosci,3.355
j immunother cancer,8.676
epigenomics,4.404
plos biol,8.386
j cell physiol,4.522
stem cell res,3.929
cell cycle,3.259
nat chem biol,12.154
epigenetics chromatin,4.185
angew chem int ed engl,12.257
j dermatol sci,3.986
bmc dev biol,2.368
biochem pharmacol,4.825
nat biomed eng,17.135
anticancer res,1.935
mol cancer,10.679
nat neurosci,21.126
int j biol sci,4.067
environ res,5.026
onco targets ther,3.046
mol pharmacol,3.853
cancer lett,6.508
cell stem cell,21.464
j clin med,2.046
cell death dis,5.959
mol syst biol,9.800
cell res,17.848
dev dyn,2.852
curr genomics,2.174
matrix biol,6.986
nat mater,38.887
cancer epidemiol biomarkers prev,5.057
j surg res,1.872
breast cancer res,5.676
j exp clin cancer res,5.646
cancer manag res,3.702
ebiomedicine,6.680
hepatology,14.971
clin epigenetics,5.496
sci immunol,None
sci transl med,17.161
biosci biotechnol biochem,1.297
radiat oncol,2.895
biochim biophys acta mol basis dis,4.328
genes cells,1.922
ann surg oncol,3.681
oncotarget,None
front chem,1.018
j bioinform comput biol,0.845
j extracell vesicles,11.000
biomaterials,10.273
j breast cancer,2.558
npj precis oncol,None
tumour biol,3.81
iscience,None
bmc immunol,2.186
int j clin exp pathol,0.205
j pharmacol exp ther,3.615
j cyst fibros,4.290
glycobiology,4.194
food chem toxicol,3.775
j gastrointest surg,2.686
inflamm res,3.061
cell signal,3.388
omics,2.610
cell host microbe,15.753
f1000res,None
lancet oncol,35.386
cytokine,3.078
appl environ microbiol,4.077
